date; time,air temperature,water temperature,level tank,level 1,level 2,humidity,pH voltage,pH,tds
02/11/2022; 18:24:30,21.1,20.75,265.0,265.0,146.0,16.0,1.98,7.25,461.25
02/11/2022; 18:24:37,21.1,20.75,266.0,266.0,142.0,16.0,1.98,7.25,461.25
02/11/2022; 18:24:43,21.1,20.75,266.0,266.0,139.0,17.0,1.98,7.25,461.25
02/11/2022; 18:24:49,21.1,20.75,265.0,266.0,139.0,16.0,1.98,7.25,461.25
02/11/2022; 18:24:55,21.1,20.75,265.0,265.0,137.0,17.0,1.98,7.25,461.25
02/11/2022; 18:25:01,21.1,20.75,267.0,267.0,141.0,16.0,1.98,7.25,461.25
02/11/2022; 18:25:07,21.1,20.75,266.0,266.0,140.0,17.0,1.98,7.25,461.25
02/11/2022; 18:25:13,21.1,20.75,265.0,266.0,140.0,16.0,1.98,7.25,461.25
02/11/2022; 18:25:20,21.1,20.75,265.0,265.0,138.0,17.0,1.98,7.25,461.25
02/11/2022; 18:25:26,21.1,20.75,265.0,265.0,138.0,16.0,1.98,7.25,461.25
02/11/2022; 18:25:32,21.1,20.75,266.0,265.0,142.0,17.0,1.98,7.25,461.25
02/11/2022; 18:25:38,21.1,20.81,265.0,265.0,142.0,17.0,1.98,7.25,460.54
02/11/2022; 18:25:44,21.1,20.81,264.0,264.0,147.0,16.0,1.98,7.25,460.54
02/11/2022; 18:25:50,21.1,20.75,265.0,265.0,149.0,17.0,1.98,7.25,461.25
02/11/2022; 18:25:57,21.1,20.75,264.0,264.0,146.0,16.0,1.98,7.25,461.25
02/11/2022; 18:26:03,21.1,20.75,265.0,264.0,144.0,17.0,1.98,7.25,461.25
02/11/2022; 18:26:09,21.1,20.81,265.0,265.0,140.0,16.0,1.98,7.25,460.54
02/11/2022; 18:26:15,21.1,20.81,264.0,265.0,145.0,17.0,1.98,7.25,460.54
02/11/2022; 18:26:21,21.1,20.81,264.0,264.0,145.0,16.0,1.98,7.25,460.54
02/11/2022; 18:26:27,21.1,20.75,265.0,265.0,147.0,16.0,1.98,7.25,461.25
02/11/2022; 18:26:34,21.1,20.81,264.0,265.0,146.0,16.0,1.98,7.25,460.54
02/11/2022; 18:26:40,21.1,20.75,264.0,264.0,128.0,16.0,1.98,7.25,461.25
02/11/2022; 18:26:46,21.1,20.81,264.0,264.0,135.0,16.0,1.98,7.25,460.54
02/11/2022; 18:26:52,21.1,20.75,265.0,264.0,134.0,16.0,1.98,7.25,461.25
02/11/2022; 18:26:58,21.1,20.81,264.0,265.0,134.0,17.0,1.98,7.25,460.54
02/11/2022; 18:27:04,21.1,20.81,264.0,265.0,138.0,16.0,1.98,7.25,460.54
02/11/2022; 18:27:11,21.1,20.81,264.0,264.0,144.0,16.0,1.98,7.25,460.54
02/11/2022; 18:27:17,21.1,20.81,263.0,265.0,145.0,16.0,1.98,7.25,460.54
02/11/2022; 18:27:23,21.1,20.81,265.0,265.0,143.0,16.0,1.98,7.25,460.54
02/11/2022; 18:27:29,21.1,20.81,265.0,265.0,144.0,16.0,1.98,7.25,460.54
02/11/2022; 18:27:35,21.1,20.75,264.0,264.0,144.0,16.0,1.98,7.25,461.25
02/11/2022; 18:27:42,21.1,20.81,265.0,265.0,146.0,16.0,1.98,7.25,460.54
02/11/2022; 18:27:48,21.1,20.81,264.0,264.0,142.0,16.0,1.98,7.25,460.54
02/11/2022; 18:27:54,21.1,20.75,265.0,265.0,148.0,16.0,1.98,7.25,461.25
02/11/2022; 18:28:00,21.1,20.81,263.0,263.0,141.0,16.0,1.98,7.25,460.54
02/11/2022; 18:28:06,21.1,20.81,264.0,264.0,143.0,16.0,1.98,7.25,460.54
02/11/2022; 18:28:13,21.1,20.75,264.0,265.0,139.0,16.0,1.98,7.25,461.25
02/11/2022; 18:28:18,21.1,20.81,263.0,264.0,140.0,16.0,1.98,7.25,460.54
02/11/2022; 18:28:25,21.1,20.75,265.0,264.0,140.0,17.0,1.98,7.25,461.25
02/11/2022; 18:28:31,21.1,20.75,263.0,264.0,140.0,16.0,1.98,7.25,461.25
02/11/2022; 18:28:37,21.1,20.81,263.0,263.0,142.0,16.0,1.98,7.25,460.54
02/11/2022; 18:28:43,21.1,20.81,264.0,264.0,142.0,16.0,1.98,7.25,460.54
02/11/2022; 18:28:49,21.1,20.81,264.0,264.0,144.0,17.0,1.98,7.25,460.54
02/11/2022; 18:28:55,21.1,20.81,264.0,264.0,144.0,16.0,1.98,7.25,460.54
02/11/2022; 18:29:01,21.1,20.81,263.0,264.0,144.0,16.0,1.98,7.25,460.54
02/11/2022; 18:29:08,21.1,20.81,264.0,265.0,144.0,16.0,1.98,7.25,460.54
02/11/2022; 18:29:14,21.1,20.81,264.0,265.0,142.0,16.0,1.98,7.25,460.54
02/11/2022; 18:29:20,21.1,20.81,262.0,263.0,140.0,16.0,1.98,7.25,460.54
02/11/2022; 18:29:26,21.1,20.81,263.0,265.0,143.0,16.0,1.98,7.25,460.54
02/11/2022; 18:29:32,21.1,20.81,264.0,264.0,141.0,16.0,1.98,7.25,460.54
02/11/2022; 18:29:39,21.1,20.81,264.0,264.0,142.0,16.0,1.98,7.25,460.54
02/11/2022; 18:29:45,21.1,20.81,263.0,264.0,142.0,16.0,1.98,7.25,460.54
02/11/2022; 18:29:51,21.1,20.81,263.0,263.0,139.0,16.0,1.98,7.25,460.54
02/11/2022; 18:29:57,21.1,20.81,262.0,263.0,138.0,16.0,1.98,7.25,460.54
02/11/2022; 18:30:03,21.1,20.75,263.0,264.0,137.0,16.0,1.98,7.25,461.25
02/11/2022; 18:30:09,21.1,20.81,264.0,265.0,137.0,17.0,1.98,7.25,460.54
02/11/2022; 18:30:15,21.1,20.81,262.0,264.0,142.0,16.0,1.98,7.25,460.54
02/11/2022; 18:30:22,21.1,20.75,263.0,264.0,129.0,16.0,1.98,7.25,461.25
02/11/2022; 18:30:28,21.1,20.81,263.0,265.0,136.0,16.0,1.98,7.25,460.54
02/11/2022; 18:30:34,21.1,20.81,263.0,263.0,133.0,16.0,1.98,7.25,460.54
02/11/2022; 18:30:40,21.1,20.81,263.0,263.0,142.0,16.0,1.98,7.25,460.54
02/11/2022; 18:30:46,21.1,20.75,264.0,264.0,143.0,16.0,1.98,7.25,461.25
02/11/2022; 18:30:53,21.1,20.81,262.0,263.0,139.0,16.0,1.98,7.25,460.54
02/11/2022; 18:30:58,21.1,20.75,262.0,263.0,141.0,16.0,1.98,7.25,461.25
02/11/2022; 18:31:05,21.1,20.75,262.0,262.0,141.0,17.0,1.98,7.25,461.25
02/11/2022; 18:31:11,21.1,20.75,262.0,263.0,140.0,16.0,1.98,7.25,461.25
02/11/2022; 18:31:17,21.1,20.81,262.0,262.0,140.0,16.0,1.98,7.25,460.54
02/11/2022; 18:31:23,21.1,20.81,262.0,263.0,140.0,16.0,1.98,7.25,460.54
02/11/2022; 18:31:29,21.1,20.81,263.0,263.0,139.0,16.0,1.98,7.25,460.54
02/11/2022; 18:31:35,21.1,20.75,262.0,263.0,142.0,17.0,1.98,7.25,461.25
02/11/2022; 18:31:42,21.1,20.81,263.0,264.0,142.0,16.0,1.98,7.25,460.54
02/11/2022; 18:31:48,21.1,20.81,262.0,264.0,141.0,16.0,1.98,7.25,460.54
02/11/2022; 18:31:54,21.1,20.81,261.0,263.0,141.0,16.0,1.98,7.25,460.54
02/11/2022; 18:32:00,21.1,20.75,261.0,262.0,140.0,16.0,1.98,7.25,461.25
02/11/2022; 18:32:06,21.1,20.81,263.0,264.0,142.0,16.0,1.98,7.25,460.54
02/11/2022; 18:32:12,21.1,20.81,262.0,263.0,141.0,16.0,1.98,7.25,460.54
02/11/2022; 18:32:19,21.1,20.81,262.0,263.0,141.0,16.0,1.98,7.25,460.54
02/11/2022; 18:32:25,21.1,20.81,261.0,262.0,140.0,16.0,1.98,7.25,460.54
02/11/2022; 18:32:31,21.1,20.75,262.0,263.0,136.0,16.0,1.98,7.25,461.25
02/11/2022; 18:32:37,21.1,20.81,262.0,263.0,140.0,16.0,1.98,7.25,460.54
02/11/2022; 18:32:43,21.1,20.81,263.0,263.0,136.0,16.0,1.98,7.25,460.54
02/11/2022; 18:32:50,21.1,20.75,262.0,263.0,134.0,16.0,1.98,7.25,461.25
02/11/2022; 18:32:56,21.1,20.81,261.0,262.0,139.0,16.0,1.98,7.25,460.54
02/11/2022; 18:33:02,21.1,20.81,263.0,264.0,144.0,16.0,1.98,7.25,460.54
02/11/2022; 18:33:08,21.1,20.81,263.0,263.0,136.0,16.0,1.98,7.25,460.54
02/11/2022; 18:33:14,21.1,20.81,262.0,263.0,144.0,16.0,1.98,7.25,460.54
02/11/2022; 18:33:20,21.1,20.81,261.0,263.0,145.0,16.0,1.98,7.25,460.54
02/11/2022; 18:33:26,21.1,20.75,261.0,262.0,144.0,16.0,1.98,7.25,461.25
02/11/2022; 18:33:32,21.1,20.81,263.0,263.0,143.0,16.0,1.98,7.25,460.54
02/11/2022; 18:33:39,21.1,20.81,261.0,263.0,139.0,16.0,1.98,7.25,460.54
02/11/2022; 18:33:45,21.1,20.81,261.0,262.0,142.0,16.0,1.98,7.25,460.54
02/11/2022; 18:33:51,21.1,20.81,261.0,261.0,140.0,16.0,1.98,7.25,460.54
02/11/2022; 18:33:57,21.1,20.81,261.0,263.0,141.0,16.0,1.98,7.25,460.54
02/11/2022; 18:34:03,21.1,20.81,261.0,262.0,141.0,16.0,1.98,7.25,460.54
02/11/2022; 18:34:09,21.1,20.81,262.0,264.0,141.0,16.0,1.98,7.25,460.54
02/11/2022; 18:34:16,21.1,20.81,262.0,263.0,141.0,16.0,1.98,7.25,460.54
02/11/2022; 18:34:22,21.1,20.81,262.0,263.0,142.0,16.0,1.98,7.25,460.54
02/11/2022; 18:34:28,21.1,20.81,262.0,264.0,136.0,16.0,1.98,7.25,460.54
02/11/2022; 18:34:34,21.1,20.81,261.0,262.0,141.0,16.0,1.98,7.25,460.54
02/11/2022; 18:34:40,21.1,20.81,261.0,262.0,140.0,16.0,1.98,7.25,460.54
02/11/2022; 18:34:46,21.1,20.81,261.0,263.0,139.0,16.0,1.98,7.25,460.54
02/11/2022; 18:34:53,21.2,20.81,260.0,262.0,138.0,16.0,1.98,7.25,460.54
02/11/2022; 18:34:59,21.2,20.81,262.0,264.0,139.0,16.0,1.98,7.25,460.54
02/11/2022; 18:35:05,21.2,20.81,261.0,263.0,138.0,16.0,1.98,7.25,460.54
02/11/2022; 18:35:11,21.1,20.81,261.0,262.0,138.0,16.0,1.98,7.25,460.54
02/11/2022; 18:35:17,21.1,20.81,260.0,261.0,136.0,16.0,1.98,7.25,460.54
02/11/2022; 18:35:24,21.1,20.81,261.0,262.0,143.0,16.0,1.98,7.25,460.54
02/11/2022; 18:35:30,21.1,20.81,261.0,262.0,141.0,16.0,1.98,7.25,460.54
02/11/2022; 18:35:36,21.1,20.81,261.0,262.0,141.0,16.0,1.98,7.25,460.54
02/11/2022; 18:35:42,21.1,20.75,261.0,263.0,146.0,16.0,1.98,7.25,461.25
02/11/2022; 18:35:48,21.1,20.81,261.0,262.0,145.0,16.0,1.98,7.25,460.54
02/11/2022; 18:35:54,21.1,20.81,260.0,262.0,144.0,16.0,1.98,7.25,460.54
02/11/2022; 18:36:00,21.1,20.81,261.0,262.0,144.0,16.0,1.98,7.25,460.54
02/11/2022; 18:36:07,21.1,20.81,261.0,263.0,144.0,16.0,1.98,7.25,460.54
02/11/2022; 18:36:13,21.1,20.81,261.0,263.0,144.0,16.0,1.98,7.25,460.54
02/11/2022; 18:36:19,21.1,20.81,261.0,263.0,140.0,16.0,1.98,7.25,460.54
02/11/2022; 18:36:25,21.1,20.81,261.0,261.0,142.0,16.0,1.98,7.25,460.54
02/11/2022; 18:36:31,21.1,20.81,261.0,262.0,137.0,16.0,1.98,7.25,460.54
02/11/2022; 18:36:37,21.1,20.81,261.0,263.0,141.0,16.0,1.98,7.25,460.54
02/11/2022; 18:36:44,21.1,20.81,261.0,263.0,145.0,16.0,1.98,7.25,460.54
02/11/2022; 18:36:50,21.1,20.81,261.0,263.0,144.0,16.0,1.98,7.25,460.54
02/11/2022; 18:36:56,21.1,20.81,260.0,262.0,143.0,16.0,1.98,7.25,460.54
02/11/2022; 18:37:02,21.1,20.81,261.0,262.0,142.0,16.0,1.98,7.25,460.54
02/11/2022; 18:37:08,21.1,20.81,261.0,263.0,142.0,16.0,1.98,7.25,460.54
02/11/2022; 18:37:14,21.1,20.81,261.0,263.0,143.0,16.0,1.98,7.25,460.54
02/11/2022; 18:37:21,21.1,20.81,261.0,262.0,144.0,16.0,1.98,7.24,460.54
02/11/2022; 18:37:27,21.1,20.81,260.0,262.0,142.0,16.0,1.98,7.25,460.54
02/11/2022; 18:37:33,21.1,20.81,261.0,262.0,143.0,16.0,1.98,7.25,460.54
02/11/2022; 18:37:39,21.1,20.81,261.0,262.0,143.0,16.0,1.98,7.25,460.54
02/11/2022; 18:37:45,21.1,20.81,261.0,262.0,143.0,16.0,1.98,7.25,460.54
02/11/2022; 18:37:51,21.1,20.81,260.0,262.0,139.0,16.0,1.98,7.25,460.54
02/11/2022; 18:37:57,21.1,20.81,261.0,262.0,140.0,16.0,1.98,7.24,460.54
02/11/2022; 18:38:04,21.1,20.81,261.0,264.0,141.0,16.0,1.98,7.24,460.54
02/11/2022; 18:38:10,21.1,20.81,261.0,262.0,137.0,16.0,1.98,7.24,460.54
02/11/2022; 18:38:16,21.1,20.81,261.0,262.0,141.0,16.0,1.98,7.24,460.54
02/11/2022; 18:38:22,21.1,20.75,261.0,262.0,137.0,16.0,1.98,7.24,461.25
02/11/2022; 18:38:28,21.1,20.81,259.0,262.0,140.0,16.0,1.98,7.24,460.54
02/11/2022; 18:38:34,21.1,20.81,261.0,263.0,131.0,16.0,1.98,7.24,460.54
02/11/2022; 18:38:41,21.1,20.81,261.0,263.0,136.0,16.0,1.98,7.24,460.54
02/11/2022; 18:38:47,21.1,20.81,260.0,262.0,133.0,17.0,1.98,7.24,460.54
02/11/2022; 18:38:53,21.1,20.81,260.0,261.0,139.0,16.0,1.98,7.24,460.54
02/11/2022; 18:38:59,21.1,20.81,261.0,262.0,142.0,16.0,1.98,7.24,460.54
02/11/2022; 18:39:05,21.1,20.81,259.0,261.0,144.0,16.0,1.98,7.24,460.54
02/11/2022; 18:39:11,21.1,20.81,260.0,262.0,145.0,16.0,1.98,7.24,460.54
02/11/2022; 18:39:18,21.1,20.81,261.0,263.0,144.0,17.0,1.98,7.24,460.54
02/11/2022; 18:39:24,21.1,20.81,260.0,261.0,142.0,16.0,1.98,7.24,460.54
02/11/2022; 18:39:30,21.1,20.81,260.0,262.0,141.0,16.0,1.98,7.24,460.54
02/11/2022; 18:39:36,21.1,20.81,260.0,262.0,140.0,16.0,1.98,7.24,460.54
02/11/2022; 18:39:42,21.2,20.81,260.0,260.0,139.0,16.0,1.98,7.24,460.54
02/11/2022; 18:39:48,21.1,20.81,259.0,261.0,139.0,16.0,1.98,7.24,460.54
02/11/2022; 18:39:54,21.1,20.81,261.0,263.0,140.0,16.0,1.98,7.24,460.54
02/11/2022; 18:40:01,21.1,20.81,260.0,262.0,142.0,16.0,1.98,7.24,460.54
02/11/2022; 18:40:07,21.1,20.81,261.0,262.0,138.0,16.0,1.98,7.24,460.54
02/11/2022; 18:40:13,21.1,20.81,261.0,261.0,143.0,16.0,1.98,7.24,460.54
02/11/2022; 18:40:19,21.1,20.81,261.0,263.0,144.0,16.0,1.97,7.24,460.54
02/11/2022; 18:40:26,21.1,20.81,260.0,261.0,140.0,16.0,1.97,7.24,460.54
02/11/2022; 18:40:32,21.1,20.81,261.0,263.0,142.0,16.0,1.97,7.24,460.54
02/11/2022; 18:40:38,21.1,20.81,260.0,262.0,141.0,16.0,1.97,7.24,460.54
02/11/2022; 18:40:44,21.1,20.81,260.0,262.0,140.0,16.0,1.98,7.24,460.54
02/11/2022; 18:40:50,21.1,20.81,260.0,262.0,139.0,16.0,1.98,7.24,460.54
02/11/2022; 18:40:56,21.1,20.81,261.0,262.0,138.0,16.0,1.98,7.24,460.54
02/11/2022; 18:41:02,21.1,20.81,260.0,262.0,137.0,16.0,1.98,7.24,460.54
02/11/2022; 18:41:08,21.1,20.81,261.0,262.0,139.0,16.0,1.98,7.24,460.54
02/11/2022; 18:41:15,21.1,20.81,260.0,263.0,138.0,16.0,1.98,7.24,460.54
02/11/2022; 18:41:21,21.1,20.81,261.0,262.0,139.0,16.0,1.98,7.24,460.54
02/11/2022; 18:41:27,21.1,20.81,254.0,262.0,136.0,16.0,1.98,7.24,460.54
02/11/2022; 18:41:33,21.1,20.81,259.0,261.0,133.0,16.0,1.98,7.24,460.54
02/11/2022; 18:41:39,21.1,20.81,261.0,262.0,133.0,16.0,1.98,7.24,460.54
02/11/2022; 18:41:45,21.1,20.81,260.0,262.0,138.0,16.0,1.98,7.24,460.54
02/11/2022; 18:41:52,21.1,20.81,260.0,262.0,138.0,16.0,1.98,7.24,460.54
02/11/2022; 18:41:58,21.1,20.81,259.0,261.0,140.0,16.0,1.98,7.24,460.54
02/11/2022; 18:42:04,21.1,20.81,260.0,262.0,145.0,16.0,1.98,7.25,460.54
02/11/2022; 18:42:10,21.1,20.81,260.0,262.0,139.0,16.0,1.98,7.24,460.54
02/11/2022; 18:42:16,21.2,20.81,260.0,262.0,140.0,16.0,1.98,7.24,460.54
02/11/2022; 18:42:22,21.2,20.81,260.0,262.0,133.0,16.0,1.98,7.24,460.54
02/11/2022; 18:42:29,21.1,20.81,259.0,261.0,123.0,16.0,1.98,7.24,460.54
